Journal of Social Entrepreneurship,C
Journal of Sport Management,C
Journal of Strategic Marketing,C
Journal of Strategy and Management,C
Journal of Structured Finance,D
Journal of Supply Chain Management,B
Journal of Sustainable Finance & Investment,B
Journal of Sustainable Tourism,C
Journal of Systems and Software,B
Journal of the Academy of Marketing Science,A
Journal of the ACM,B
Journal of the Association for Consumer Research,B
Journal of the Association for Information Science and Technology,C
Journal of the Association for Information Systems,A
Journal of the European Economic Association,A
Journal of the International Council for Small Business,C
Journal of the Knowledge Economy,C
Journal of the Operational Research Society,B
Journal of Transport Geography,B
Journal of Travel Research,B
Journal of Vocational Behavior,A
Journal of Wealth Management,C
Journal of World Business,A
Junior Management Science,D
KI - Künstliche Intelligenz,C
Knowledge Management Research & Practice,C
Kyklos,B
Kölner Zeitschrift für Soziologie und Sozialpsychologie,B
Labor Studies Journal,C
Labour Economics,B
Labour: Review of Labour Economics and Industrial Relations|Labour,B
Leadership,B
Leadership & Organizational Development Journal,C
Lecture Notes in Logistics,C
Leviathan : Berliner Zeitschrift für Sozialwissenschaft|Leviathan,B
Local Government Studies,B
Logistics Research,C
London Business School Review,D
Long Range Planning,B
M@n@gement,B
Management Accounting Research,A
Management and Organisation Review,B
Management and Organization Review,B
Management Decision,B
Management International Review,B
Management Learning,B
Management Personal Quarterly : Wissenschaftsjournal für die Personalpraxis,C
Management Research Review,C
Management Review Quarterly,B
management revue - Socio-economic Studies (früher: management revue - The,B
Management Revue : Socio-Economic Studies|Management Revue,B
Management Science,A+
Management: An International Journal) ILR Review: The Journal of Work and Policy,B
Managementforschung,B
Managerial and Decision Economics,B
Managerial Finance,C
Manufacturing & Service Operations Management,A
Maritime Policy & Management,C
Maritime Transport Research,B
Marketing Intelligence Review,D
Marketing Letters,B
Marketing Review St. Gallen,D
Marketing Science,A+
Marketing Theory,B
Marketing ZFP - Journal of Research and Management,C
Mathematical Finance,B
Mathematical Methods of Operations Research,B
Mathematical Programming,A
Mathematics of Operations Research,A
McKinsey Quarterly,D
Medical Care,B
Medical Decision Making,A
MIS quarterly / Management Information Systems Research Center (MISRC)|MIS quarterly|MISQ|MIS Q,A+
MIS Quarterly Executive,B
MIT Sloan Management Review,B
Multinational Business Review,C
Multivariate Behavioral Research,B
National Tax Journal,A
Nature,A+
Nature climate change,A
Nature Communications,A
Nature Energy,A
Nature Human Behaviour,A
Nature Machine Intelligence,A
Nature Sustainability,A
Naval Research Logistics,B
Networks,A
Networks and Spatial Economics,B
New England Journal of Entrepreneurship,C
New Technology, Work and Employment,B
Nonprofit and Voluntary Sector Quarterly,A
Nonprofit Management & Leadership,B
Nonprofit Policy Forum,B
Nonprofit Services) Information Polity,C
Nordic Tax Journal,B
North American Actuarial Journal,B
North American Journal of Economics and Finance,C
of International Business and Economics Journal of Marketing Communications,C
Omega,B
Operations Management Research : OMR|Operations Management Research,C
Operations Research,A+
Operations research forum,B
Operations Research Letters,B
Operations Research Perspectives,C
Operations Research, Data Analytics and Logistics,B
Operations Research, Data Analytics und Logistik,B
Optimization Letters,B
OR Spectrum,A
Organisationsentwicklung : Zeitschrift für Unternehmensentwicklung und Change,C
Organization,B
Organization & Environment,B
Organization Science,A+
Organization Studies,A
Organization Theory,A
Organizational Behavior and Human Decision Processes,A
Organizational Dynamics,B
Organizational Psychology Review,B
Organizational Research Methods,A
Pacific Asia Journal of the Association for Information Systems,C
Pacific-Basin Finance Journal,C
Personality and Individual Differences,B
Personality and Social Psychology Bulletin,A
Personnel Psychology,A
Personnel Review,B
Perspectives on Public Management and Governance,B
Perspektiven der Wirtschaftspolitik (PWP)|Perspektiven der Wirtschaftspolitik,C
PharmacoEconomics,A
PLOS One,B
Problems and Perspectives in Management,C
Proceedings of the National Academy of Sciences,A
Production and Operations Management,A
Production Planning & Control,B
Project Management Journal,B
Psychological Methods,A
Psychological Science,A+
Psychology & Marketing,B
Psychometrika,A
Public Administration,A
Public Administration and Development,C
Public Administration Quarterly,C
Public Administration Review,A
Public Choice,C
Public Finance Review,B
Public Management Review,A
Public Money & Management,B
Public Performance & Management Review,B
Public Personnel Management,C
Public Policy and Administration,B
Public transport : planning and operations|Public transport,C
Qualitative Market Research,C
Qualitative Research in Accounting & Management : QRAM|Qualitative Research in Accounting & Management,B
Qualitative Research in Financial Markets,D
Quantitative Finance,B
Quantitative Marketing and Economics,A
Quarterly Journal of Economics,A+
R&D Management,B
Real Estate Economics,B
Real Estate Finance,C
Recherche et Applications en Marketing (English Edition)|Recherche et Applications en Marketing,C
Regional Studies,B
Relations Industrielles / Industrial Relations|Relations Industrielles,B
Renewable and Sustainable Energy Reviews,B
Research in Higher Education,B
Research in International Business and Finance,C
Research in Organizational Behavior,B
Research in the Sociology of Organizations,B
Research Policy,A
Research Technology Management,C
Resource and Energy Economics,B
Resources, Conservation and Recycling,B
Review of Accounting Studies,A
Review of Derivatives Research,A
Review of Economic Studies,A+
Review of Finance,A
Review of Financial Economics,B
Review of Managerial Science,B
Review of Marketing Research,C
Review of Marketing Science,C
Review of Public Personnel Administration,B
Review of Quantitative Finance and Accounting,B
Revue de l'entrepreneuriat,D
Revue Internationale PME,D
Risk Analysis,C
Risk Management and Insurance Review,D
Scandinavian Journal of Information Systems,B
Scandinavian Journal of Management,B
Schmalenbach Business Review,B
Schmalenbach Journal of Business Research,B
Science,A+
Science and Technology Studies,D
Science Technology and Human Values,C
Scientometrics,B
Service Business,D
Service Industries Journal,C
Service Science,B
SIAM Journal on Computing,A
Small Business Economics,B
Small Enterprise Research,C
Smart and Sustainable Built Environment,C
Social and Environmental Accountability Journal,B
Social Enterprise Journal,C
Social Forces,B
Social Policy & Administration,C
Social Responsibility Journal,C
Social Science & Medicine,A
Society and Business Review,B
Socio-Economic Review,B
Software and Systems Modeling,B
Soziale Systeme : Zeitschrift für soziologische Theorie|Soziale Systeme,B
Sport Management Review,C
Steuer und Wirtschaft,B
Strategic Change,B
Strategic Entrepreneurship Journal,A
Strategic Management Journal,A+
Strategic Management Review: SMR|Strategic Management Review,B
Strategic Organization,B
Strategy & Leadership,C
